电影名称,电影图片,电影排名,电影评分,电影作者
乱世佳人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,34,9.3,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...
                            1939 / 美国 / 剧情 历史 爱情 战争
                        "
飞屋环游记,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553594918.jpg,35,9.1,"
                            导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...
                            2009 / 美国 / 剧情 喜剧 动画 冒险
                        "
让子弹飞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,36,9.0,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
                            2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部
                        "
哈尔的移动城堡,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2907583906.jpg,37,9.1,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...
                            2004 / 日本 / 爱情 动画 奇幻 冒险
                        "
十二怒汉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,38,9.4,"
                            导演: 西德尼·吕美特 Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁...
                            1957 / 美国 / 剧情
                        "
素媛,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,39,9.3,"
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
                            2013 / 韩国 / 剧情
                        "
海蒂和爷爷,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,40,9.3,"
                            导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...
                            2015 / 德国 瑞士 / 剧情 冒险 家庭
                        "
猫鼠游戏,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,41,9.1,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...
                            2002 / 美国 加拿大 / 传记 犯罪 剧情
                        "
天空之城,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2892409201.jpg,42,9.2,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
                            1986 / 日本 / 动画 奇幻 冒险
                        "
鬼子来了,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,43,9.3,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...
                            2000 / 中国大陆 / 剧情 喜剧
                        "
摔跤吧！爸爸,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,44,9.0,"
                            导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...
                            2016 / 印度 / 剧情 传记 运动 家庭
                        "
少年派的奇幻漂流,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,45,9.1,"
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...
                            2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险
                        "
钢琴家,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg,46,9.3,"
                            导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...
                            2002 / 英国 法国 波兰 德国 美国 / 剧情 传记 战争 音乐
                        "
指环王2：双塔奇兵,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg,47,9.2,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        "
